index,basin_number,search_terms,basin_code,basin_name,basin_count,search_completed,preliminary_review,search_notes,over_ten_thousand,finished
73,73,Adaja OR Aliste OR Bembezar OR Bibey OR Cea OR Cega OR Duero OR Embalse de Saucelle OR Embalse de Barropis de Luna OR Embalse De Linares OR Embalse de Richobayo OR Embalse de santa Teresa OR Embalse del Agueda OR Embalse de Almendra OR Embalse de Burgomillodo OR Embalse de la Cuerda del pozo OR Eresma OR Eria OR Esgueva OR Esla OR Espartero OR Guarena OR Huebra OR Largo de Sanabria OR Mourela OR Orbigo OR Porma OR Retortillo OR San Miguel OR Sequillo OR Tera OR Torio OR Tormes OR Travancos OR Valderaduey OR Valdesirgas OR Yeltes OR Agueda OR Arcosso OR Cabrum OR Cavado OR Coa OR Douro OR Embalse alse de Saucelle OR Embalse de Aldeadavila OR Paiva OR Rabacal OR Rabagao OR CAPS(Sabor) OR CAPS(Sabroso) OR CAPS(Seco) OR CAPS(Sordo) OR Tamega OR Tavora OR Tua OR Tuela OR Varosa,DURO,Douro/Duero,,N,N,More than 10k results,,0
74,74,CAPS(Aguas Limpias) OR Al canadre OR Ara OR Aragon OR Arba OR Arga OR Barranco El Grado OR Bergantes OR Cinca OR Ebro OR Embalse de Santolea OR Embalse de Sotonera OR Embalse de Canelles OR Embalse de Mediano OR Embalse de Santa Anna OR Embalse de Talarn OR Embalse de Yesa OR Embalse de Mequinenza OR Esca OR Escarra OR Esera OR Espot OR Gallego OR Guadalope OR Huerva OR Irati OR Jalon OR Jiloca OR Lago Arriel OR Martcn OR Noguera Pallaresa OR Noguera Ribagorzana OR Panta de Riva-roga OR Peguera OR Pineta OR Riguel OR Segre OR Somero OR Urdiceto,EBRO,Ebro,,N,N,,,0
75,75,Elbe OR Bilina OR Moricuv potok OR Mze OR Odrava OR Ohre OR Ploucnice OR Radbuza OR Tepla OR Aland OR Alster OR Biese OR Bleiloch Talsperre OR Bode OR Do sse OR Dumme OR Ehle OR Fiener Bruch OR Fuhne OR Havel OR Ilm OR Jeetzel OR Kalte Bode OR Milde OR Mulde OR Rappbode OR Saale OR Schaal see OR Schilde OR Schwarze Elster OR Selke OR Stepenitz OR Stor OR Sude OR Uchte OR Wipper OR Zillierbach,ELBE,Elbe,,N,N,,,0
76,76,Elancik,ELNK,Elancik,,N,N,No Results,,0
77,77,Erne OR Lower Lough Erne OR Upper Lough Erne,ERNE,Erne,,Y,N,,,1
78,78,Essequibo OR Burro-Burro OR Illiwa OR Kwitaro OR Mazarani OR Mazaruni OR Rupununi OR Siaruni OR Takutu OR Tacuta OR Cuyuni,ESQB,Essequibo,,Y,N,,,1
79,79,Cuvelai OR Etosha,ETOS,Cuvelai/Etosha,,Y,N,,,1
80,80,Fane,FANE,Fane,,Y,N,,,1
81,81,CAPS(Flurry),FLRY,Flurry,,N,N,,,0
82,82,CAPS(Fly),FLYX,Fly,,N,N,,,0
83,83,Fenney,FNNY,Fenney,,Y,N,,,1
84,84,Foyle,FOYL,Foyle,,Y,N,,,1
85,85,Fraser OR Adams OR Adams Lake OR Akie OR Baezaeko OR CAPS(Big Creek) OR CAPS(Blueberry) OR Bonaparte OR Bowron OR Cameron OR Canim Lake OR Carp Lake OR Chilcotin OR Chilko OR Chilko Lake OR Chillwack OR Chillwack Lake OR Crooked OR Doig OR CAPS(Driftwood) OR Eutsuk Lake OR Finlay OR Francois Lake OR Gamsby OR CAPS(Gardner Canal) OR CAPS(Graham) OR CAPS(Green) Lake OR CAPS(Halfway) OR Herrick OR CAPS(Horsefly) Lake OR Ingenika OR Kitlope OR Kwadacha OR Lillooet Lake OR Mabel Lake OR Maligne Lake OR Mc Gregor OR McLeod Lake OR Mesilinka OR Milligan Creek OR Murphy Lake OR Murtle Lake OR Nachako OR Nation OR Nazko OR Nechako OR Nechako Reservoir OR Nicola OR North Thomson OR Omineca OR Ootsa Lake OR Osilinka OR Ospika OR CAPS(Peace) OR Pinchi Lake OR CAPS(Pine) OR Quesnel OR Quesnel Lake OR CAPS(Salmon) OR Shuswap Lake OR Skagit OR Stuart OR Stuart Lake OR Takla Lake OR Taseko OR Testachuck Lake OR Thomson OR Tohtsa Lake OR Trenbleur Lake OR Tsacha Lake OR West Road OR Whit Sail,FRSR,Fraser,,N,N,,,0
86,86,Firth OR Joe OR Mancha,FRTH,Firth,,N,N,,,0
87,87,Gallegos OR CAPS(Chico),GALG,Gallegos/Chico,,N,N,,,0
88,88,Gambia OR Sandougou,GAMB,Gambia,,N,N,,,0
89,89,Ganges OR Brahmaputra  OR Meghna OR Jamuna OR Yarlung OR Raka OR Maquan OR Yi'ong OR Arunavati OR Baitha Nalla OR Banjari Nalla OR Barotha Nalla OR Basuki OR Betwa OR Bhat OR Bhima OR Bhudna Nalla OR Bora Nala OR Bori Nalla OR Bori OR Brah Maputra OR Buchaopa Nala OR Budhabudiani OR Chakar OR Chambal OR Chandrakeshar OR Deogud OR Dhu'sia Nalla OR Dibgrajheda OR Dihang OR Dongrakheda OR Erai OR Gamori OR Gandak OR Ganji OR Gej OR Ghaghara OR Ghod OR Ghunghutta OR Gomati OR CAPS(Human) OR Jamni OR Jhumka OR Jhura OR Kanoli OR Kans OR Ken OR Khakra Jore OR Khaprar Nalla OR Kharpara OR Kims Nalla OR Koop Nalla OR Kundan Nalla OR Lakheri OR Local Drain OR Manas OR Mandale OR Maska Nalla OR Mayurakshi OR Momanpura OR Moti Nalla OR Mutki OR Nagda Nalla OR Negri OR Pahuj OR Paras OR Paronch OR Pathrai OR Phon OR Pip Nalla OR Rajewasti OR Rohini OR Sagar Betwa OR Sajnam OR Sampna OR Saprar OR Sarda OR Shahjad OR Shetfal Nalla OR Sijar OR Sind OR Sindh Nalla OR Sindh Yamuna OR Son OR Songhua OR Subarnarekha OR Surhi OR Takli Kheda OR Tapti OR Tisla OR Uttari Stream OR Vel OR Yamuna OR Arun OR Karnali OR Sapt Kosi OR Sun Kosi OR Tamur,GANG,Ganges-Brahmaputra-Meghna,,N,N,,,0
90,90,Gash,GASH,Gash,,N,N,,,0
91,91,Geba OR Corubal OR Kayanga,GEBA,Geba-Corubal,,Y,N,,,1
92,92,Grijalva OR Grijalva OR CAPS(Azul),GJLV,Grijalva,,N,N,,,0
93,93,Glama,GLAM,Glama,,Y,N,,,1
94,94,Galana,GLNA,Galana,,Y,N,,,1
95,95,Golok,GLOK,Golok,,Y,N,,,1
96,96,Goascoran,GOSR,Goascoran,,Y,N,,,1
97,97,Affluent du Lot OR Agout OR Alrance OR Ariege OR Arrats OR Aveyron OR Bage OR Baise OR Ceret OR Cerou OR Dadou OR Dourdou OR Dropt OR Garonne OR Gelise OR Gers OR Gesse OR Gimone OR Labenede OR Lezert OR Lot OR Osse OR Save OR Tarn OR Tolerme OR CAPS(Touch) OR Truel OR Truyere OR Valescure OR Vebre OR Viaur OR Vioulou OR Ardila OR Campilhas OR Chanca OR Cobres OR Dogeba OR Odivelas OR Roxo OR Vale Diogo OR Vascao OR Xarrama,GRON,Garonne,,N,N,,,0
98,98,Gruzskiy Yelanchik,GRYE,Gruzskiy Yelanchik,,N,N,No Results,,0
99,99,CAPS(Great) Scarcies,GSCR,Great Scarcies,,N,N,,,0
100,100,Guadiana,GUDN,Guadiana,,Y,N,,,1
101,101,Guir,GUIR,Guir,,Y,N,,,1
102,102,Gauja,GUJA,Gauja,,Y,N,,,1
103,103,Anpyung OR Banbyon OR Bongjeon OR Buk OR Chachon OR Chongyong OR Chungdo OR Dae OR Donghwa OR Eumsung OR Gabsan OR Geumho OR Geumpo OR Gisegok OR Guan OR Gugeo OR Gumi OR Gupyung OR Gyungho OR CAPS(Han) OR Hangye OR Ieon OR Ilgwang OR Janggok OR Jangsu OR Jasan OR Jinchon OR Jinwi OR Jongri OR Joryong OR Jungdong OR Milwon OR Mulchi OR Munam OR Myungam OR Naega OR Naesung OR Nakdong OR Namhan OR Pumgok OR Sagae OR Samgi OR Seokhwa OR Soga OR Suyeong OR Suyong OR Wangjwa OR Woldong OR Yo OR Yongchon OR Yongge OR Yongwoon OR Chongryong OR Hanchon,HANX,Han,,N,N,,,0
104,104,Hari OR Harirud,HARI,Hari/Harirud,,N,N,,,0
105,105,Hamun I Mashkel OR Rakshan,HIMR,Hamun-i-Mashkel/Rakshan,,Y,N,Results only availabel for years 2014-2019,,1
106,106,Ab-e Istadeh-ye OR Arghanadab OR Dasht-e Nuvar OR Hamuh-e  Puzak OR Helmand OR Rowd-e Lurah OR Tarnak OR Kor OR Sivand,HLMD,Helmand,,N,N,,,0
107,107,Hondo OR CAPS(Azul) ,HOND,Hondo,,N,N,,,0
